time: Fri Aug  2 16:51:43 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 28.20 %
time: Mon Aug  5 13:04:34 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.403 %
time: Mon Aug  5 13:04:35 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.403 %
time: Mon Aug  5 13:04:36 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 8.101 %
time: Mon Aug  5 13:04:37 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 11.50 %
time: Mon Aug  5 13:04:37 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 9.078 %
time: Mon Aug  5 13:04:38 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 3.257 %
time: Mon Aug  5 13:04:39 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 56.31 %
time: Mon Aug  5 13:04:40 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 28.20 %
time: Mon Aug  5 13:04:41 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.091 %
time: Mon Aug  5 13:04:41 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.590 %
time: Mon Aug  5 13:04:42 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.088 %
time: Mon Aug  5 13:04:43 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 6.457 %
time: Mon Aug  5 13:04:44 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 5.890 %
time: Mon Aug  5 13:04:45 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 5.324 %
time: Mon Aug  5 13:04:45 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 3.322 %
time: Mon Aug  5 13:04:46 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.320 %
time: Mon Aug  5 13:04:47 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.220 %
time: Mon Aug  5 13:04:48 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.119 %
time: Mon Aug  5 13:04:49 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 27.51 %
time: Mon Aug  5 13:04:49 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 27.51 %
time: Mon Aug  5 13:04:50 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.743 %
time: Mon Aug  5 13:04:51 2019 | channel: Неизвестно | channel_confidence: 40 % | content_confidence: 1.078 %
time: Mon Aug  5 13:04:52 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.413 %
time: Mon Aug  5 13:04:53 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.413 %
time: Mon Aug  5 14:00:53 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 6.719 %
time: Mon Aug  5 14:00:54 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 6.719 %
time: Mon Aug  5 14:00:55 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 37.57 %
time: Mon Aug  5 14:00:56 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 68.42 %
time: Mon Aug  5 14:00:56 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 14:00:57 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 14:00:58 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 14:00:59 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:01:00 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:01:00 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 14:01:01 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 14:01:02 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.435 %
time: Mon Aug  5 14:01:03 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.777 %
time: Mon Aug  5 14:01:04 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.119 %
time: Mon Aug  5 14:01:04 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 10.10 %
time: Mon Aug  5 14:01:05 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 19.08 %
time: Mon Aug  5 14:01:06 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.188 %
time: Mon Aug  5 14:01:07 2019 | channel: НТВ | channel_confidence: 40 % | content_confidence: 1.188 %
time: Mon Aug  5 14:01:08 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.592 %
time: Mon Aug  5 14:01:08 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.592 %
time: Mon Aug  5 14:01:09 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 5.489 %
time: Mon Aug  5 14:01:10 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 5.242 %
time: Mon Aug  5 14:01:11 2019 | channel: НТВ | channel_confidence: 40 % | content_confidence: 4.994 %
time: Mon Aug  5 14:01:12 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 3.338 %
time: Mon Aug  5 14:01:12 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.682 %
time: Mon Aug  5 14:01:13 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 10.55 %
time: Mon Aug  5 14:01:27 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 8.986 %
time: Mon Aug  5 14:01:28 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 8.986 %
time: Mon Aug  5 14:01:28 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:01:29 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:01:30 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 14:01:31 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 14:01:32 2019 | channel: НТВ | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 14:01:32 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:01:33 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:01:34 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 14:54:58 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.740 %
time: Mon Aug  5 14:54:59 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.740 %
time: Mon Aug  5 14:55:00 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:55:01 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:55:01 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 14:55:02 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 14:55:03 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 14:55:04 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:55:05 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:55:05 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 14:55:06 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 14:57:58 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.435 %
time: Mon Aug  5 14:57:58 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.435 %
time: Mon Aug  5 14:57:59 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:58:00 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:58:01 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 14:58:02 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 14:58:02 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 14:58:03 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.464 %
time: Mon Aug  5 14:58:04 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.349 %
time: Mon Aug  5 14:58:17 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.645 %
time: Mon Aug  5 14:58:18 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.645 %
time: Mon Aug  5 14:58:18 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:58:19 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:58:20 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 14:58:21 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 14:58:22 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 14:58:30 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:58:31 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:58:32 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:58:32 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:58:33 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 14:58:34 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 14:58:35 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 14:58:36 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:58:36 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:58:37 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 14:58:38 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 14:58:39 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.435 %
time: Mon Aug  5 14:58:40 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.777 %
time: Mon Aug  5 14:59:19 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.806 %
time: Mon Aug  5 14:59:20 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.806 %
time: Mon Aug  5 14:59:21 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:59:21 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 14:59:22 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 14:59:23 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 14:59:24 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 14:59:25 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 14:59:25 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.465 %
time: Mon Aug  5 15:07:51 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 15:07:52 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 15:07:53 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 15:07:54 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 15:07:55 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 15:07:55 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 15:08:06 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.271 %
time: Mon Aug  5 15:08:07 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.271 %
time: Mon Aug  5 15:08:08 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:08:56 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 6.719 %
time: Mon Aug  5 16:08:57 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 6.719 %
time: Mon Aug  5 16:08:58 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:08:59 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:09:00 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 16:09:00 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 16:09:01 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 16:09:02 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 16:09:03 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 16:09:04 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 16:09:04 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.500 %
time: Mon Aug  5 16:09:05 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.740 %
time: Mon Aug  5 16:09:19 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.295 %
time: Mon Aug  5 16:09:20 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.295 %
time: Mon Aug  5 16:09:21 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:09:22 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:09:22 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 16:09:23 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 16:09:24 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 16:09:25 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 16:09:26 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.465 %
time: Mon Aug  5 16:09:26 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.716 %
time: Mon Aug  5 16:09:27 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.728 %
time: Mon Aug  5 16:09:28 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.740 %
time: Mon Aug  5 16:09:29 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.929 %
time: Mon Aug  5 16:09:30 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.119 %
time: Mon Aug  5 16:09:42 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 19.08 %
time: Mon Aug  5 16:09:42 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 19.08 %
time: Mon Aug  5 16:09:52 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 68.42 %
time: Mon Aug  5 16:09:53 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 68.42 %
time: Mon Aug  5 16:09:54 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:09:55 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:09:56 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 16:09:56 2019 | channel: Россия 1 | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 16:09:57 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 16:10:11 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.349 %
time: Mon Aug  5 16:10:12 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.349 %
time: Mon Aug  5 16:10:13 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:10:21 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 76.35 %
time: Mon Aug  5 16:10:22 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 76.35 %
time: Mon Aug  5 16:10:23 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:17:37 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 76.35 %
time: Mon Aug  5 16:17:38 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 76.35 %
time: Mon Aug  5 16:17:39 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:17:39 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:17:40 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:17:41 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 30.24 %
time: Mon Aug  5 16:17:49 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.271 %
time: Mon Aug  5 16:17:50 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.271 %
time: Mon Aug  5 16:17:51 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:18:24 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 76.35 %
time: Mon Aug  5 16:18:25 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 76.35 %
time: Mon Aug  5 16:18:26 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:18:27 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:18:28 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 16:27:32 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 16:27:33 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 16:27:33 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:27:34 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:27:35 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 16:28:59 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 16:29:00 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 16:29:01 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:29:02 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 16:29:03 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 16:29:03 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 16:29:04 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 16:29:05 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 16:29:06 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 16:29:07 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 16:29:07 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.500 %
time: Mon Aug  5 16:29:08 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.740 %
time: Mon Aug  5 16:29:09 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.929 %
time: Mon Aug  5 16:29:10 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.119 %
time: Mon Aug  5 16:29:11 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 24.21 %
time: Mon Aug  5 16:29:11 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 21.22 %
time: Mon Aug  5 16:29:12 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 18.24 %
time: Mon Aug  5 16:29:13 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 9.515 %
time: Mon Aug  5 16:29:14 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.782 %
time: Mon Aug  5 16:29:15 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.038 %
time: Mon Aug  5 16:29:15 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 3.295 %
time: Mon Aug  5 16:29:16 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.144 %
time: Mon Aug  5 16:29:17 2019 | channel: НТВ | channel_confidence: 40 % | content_confidence: 4.994 %
time: Mon Aug  5 16:29:18 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.677 %
time: Mon Aug  5 16:29:19 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 5.845 %
